Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
DE,"c:\windows\system32\SAMLIB.DLL",2018-09-15 00:29:07,2071-01-30 09:49:58,84480,A,0x00015AF0,0x00015AF0,x86,Console,"CV,Unknown",0x4D180000,Unknown,0x00019000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SCECLI.DLL",2018-09-15 00:29:12,2104-05-29 08:04:14,214016,A,0x000364BF,0x000364BF,x86,Console,"CV,Unknown",0x5FD00000,Unknown,0x00039000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SETUPAPI.DLL",2019-04-20 23:50:32,2086-07-28 11:43:27,4527624,A,0x004581BD,0x004581BD,x86,GUI,"CV,Unknown",0x10000000,Unknown,0x0044B000,Not Loaded,10.0.17763.404,10.0.17763.404,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SHDOCVW.DLL",2018-09-15 00:29:13,2021-04-03 04:50:08,217600,A,0x0003978C,0x0003978C,x86,GUI,"CV,Unknown",0x71700000,Unknown,0x00039000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SLC.DLL",2018-09-15 00:29:02,2033-02-13 20:20:51,122368,A,0x000243D9,0x000243D9,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00021000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SPFILEQ.DLL",2018-09-15 00:29:12,2047-10-20 03:00:47,87040,A,0x0001B00A,0x0001B00A,x86,GUI,"CV,Unknown",0x61000000,Unknown,0x00019000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SPINF.DLL",2018-09-15 00:29:12,2085-09-03 00:20:47,83968,A,0x000161D9,0x000161D9,x86,GUI,"CV,Unknown",0x61000000,Unknown,0x00017000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SPPC.DLL",2018-09-15 00:29:02,2026-08-08 03:50:38,102912,A,0x0001F63A,0x0001F63A,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0001C000,Not Loaded,10.0.17763.1,10.0.17763.1,21315.20512,14.13,10.0,10.0
DE,"c:\windows\system32\SRPAPI.DLL",2019-03-24 07:22:03,2041-08-04 10:36:14,126976,A,0x000218E0,0x000218E0,x86,Console,"CV,Unknown",0x10000000,Unknown,0x00023000,Not Loaded,10.0.17763.348,10.0.17763.348,10.0,14.13,10.0,10.0
DE,"c:\windows\system32\SRVCLI.DLL",2018-09-15 00:29:08,2036-12-05 04:52:18,74352,A,0x000215EC,0x000215EC,x86,Console,"CV,Unknown",0x10000000,Unknown,0x0001C000,Not Loaded,10.0.17763.1,10.0.17763.1,10.0,14.13,10.0,10.0
